lingua,perturbation,f1,em,chrf,bleu,SBERT
es,alteration,0.2623,0.1292,0.3242,0.181,0.4236
es,expansion_impact,0.3947,0.2083,0.4593,0.2452,0.6
es,expansion_noimpact,0.4084,0.2208,0.477,0.2663,0.6066
es,intensifier,0.4146,0.2458,0.475,0.2675,0.6138
es,omission,0.3474,0.1667,0.4231,0.2372,0.5616
es,spelling,0.3973,0.2167,0.4508,0.2486,0.5864
es,synonym,0.4252,0.2208,0.4785,0.264,0.6259
es,word_order,0.4083,0.2167,0.458,0.2556,0.6043
fr,alteration,0.2852,0.1667,0.3184,0.2116,0.4072
fr,expansion_impact,0.4091,0.2125,0.4868,0.2803,0.6259
fr,expansion_noimpact,0.4498,0.2583,0.5188,0.3207,0.6569
fr,intensifier,0.4276,0.2375,0.499,0.3093,0.6567
fr,omission,0.3701,0.1875,0.4435,0.2624,0.6035
fr,spelling,0.4392,0.2208,0.4958,0.3043,0.6428
fr,synonym,0.4334,0.2542,0.4856,0.3051,0.6288
fr,word_order,0.4329,0.2375,0.4819,0.2898,0.6247
hi,alteration,0.3472,0.2042,0.3567,0.2546,0.4787
hi,expansion_impact,0.3865,0.2167,0.4004,0.2858,0.5236
hi,expansion_noimpact,0.3935,0.2292,0.4113,0.291,0.542
hi,intensifier,0.3679,0.2042,0.3966,0.2744,0.5247
hi,omission,0.3138,0.15,0.3237,0.2275,0.4698
hi,spelling,0.4039,0.2208,0.4265,0.2939,0.5555
hi,synonym,0.374,0.2208,0.3933,0.2775,0.5227
hi,word_order,0.3323,0.1667,0.3535,0.228,0.4819
tl,alteration,0.3504,0.2125,0.3948,0.2715,0.4851
tl,expansion_impact,0.4131,0.2333,0.4421,0.2976,0.5645
tl,expansion_noimpact,0.4039,0.2333,0.4418,0.3042,0.5581
tl,intensifier,0.4221,0.2375,0.4513,0.3091,0.5723
tl,omission,0.3947,0.2333,0.4295,0.2876,0.5369
tl,spelling,0.4047,0.2208,0.4512,0.3024,0.5666
tl,synonym,0.4294,0.2417,0.4636,0.3219,0.5737
tl,word_order,0.4302,0.2458,0.4662,0.3201,0.5744
zh,alteration,0.2826,0.175,0.2943,0.2236,0.3918
zh,expansion_impact,0.3856,0.2208,0.4098,0.2936,0.5572
zh,expansion_noimpact,0.3623,0.225,0.3746,0.2802,0.5235
zh,intensifier,0.3751,0.2125,0.3958,0.2774,0.5443
zh,omission,0.3135,0.1833,0.3261,0.2358,0.4618
zh,spelling,0.3621,0.2167,0.3685,0.2716,0.5013
zh,synonym,0.3278,0.175,0.3415,0.2461,0.4871
zh,word_order,0.3822,0.225,0.4089,0.2886,0.5362
