strategy,config,lang,perturbation,count,f1,em,bleu,chrf,sbert
P3-concise,vanilla,es,alteration,42,0.3684872931301503,0.07182539682539682,20.212810591881528,41.043845259249466,0.582334577256725
P3-concise,vanilla,es,expansion_impact,42,0.40044752205466494,0.08214285714285714,22.40772335745533,43.36956798284342,0.6178587890747521
P3-concise,vanilla,es,expansion_noimpact,42,0.4495061860538051,0.07857142857142857,23.65793461200055,46.502327274129435,0.6478478593840485
P3-concise,vanilla,es,intensifier,42,0.44731589838732705,0.09126984126984126,24.64994584121626,46.33335343425405,0.642962782723563
P3-concise,vanilla,es,omission,42,0.42854154002963524,0.08253968253968254,24.15678492391885,44.99463595969371,0.6134556684328893
P3-concise,vanilla,es,spelling,42,0.4498637848042609,0.1,26.217693442330912,47.537868777825544,0.6407821388279518
P3-concise,vanilla,es,synonym,42,0.453349640425971,0.1222222222222222,28.08031272934817,47.73992942249519,0.6439195215938583
P3-concise,vanilla,es,word_order,42,0.47599613129375035,0.13174603174603175,28.084043926847023,48.941602338804465,0.6546754906190531
P3-concise,vanilla,fr,alteration,42,0.3350578059506631,0.025793650793650792,17.49292067641589,35.93427684919729,0.5522415883669127
P3-concise,vanilla,fr,expansion_impact,42,0.4115279892065606,0.04563492063492063,20.15547331726696,41.67315318235815,0.6304026487209493
P3-concise,vanilla,fr,expansion_noimpact,42,0.45210457752124406,0.0865079365079365,24.773357106948836,45.482936511629404,0.6529016691304389
P3-concise,vanilla,fr,intensifier,42,0.45644387553001,0.07976190476190476,26.036296179602957,46.173289989807735,0.6471031358140329
P3-concise,vanilla,fr,omission,42,0.39851542637256926,0.07619047619047618,21.7102527378552,41.33622041033574,0.6061210626204099
P3-concise,vanilla,fr,spelling,42,0.46149481004523013,0.10357142857142856,26.878015890108607,47.22617085647728,0.6496661176018063
P3-concise,vanilla,fr,synonym,42,0.44627372601462245,0.0746031746031746,24.380413979327393,44.89133452850758,0.6563844394661293
P3-concise,vanilla,fr,word_order,42,0.4414817391603106,0.09642857142857142,24.116370174365464,45.455293664718454,0.6363543429367599
P3-concise,vanilla,hi,alteration,42,0.3937508369055988,0.07103174603174603,19.829036901318492,39.30533766421991,0.575947544503484
P3-concise,vanilla,hi,expansion_impact,42,0.3664094787098989,0.05992063492063493,19.081242351826212,37.065175753985145,0.5512322151087343
P3-concise,vanilla,hi,expansion_noimpact,42,0.40862420393122145,0.08253968253968254,22.639573709427644,40.4826963796232,0.5819311439695339
P3-concise,vanilla,hi,intensifier,42,0.39854939968735487,0.06865079365079366,21.22075961761622,40.35714004216139,0.5938805163231871
P3-concise,vanilla,hi,omission,42,0.34276521888216566,0.04126984126984127,18.155425068876106,36.10827734747287,0.528670403244166
P3-concise,vanilla,hi,spelling,42,0.3848590783114593,0.07777777777777778,20.835840403308993,39.80101230123102,0.5676736196783919
P3-concise,vanilla,hi,synonym,42,0.41872716974847296,0.1003968253968254,23.779852216247424,42.58327004168642,0.6000758463575964
P3-concise,vanilla,hi,word_order,42,0.41867444504349266,0.08611111111111111,22.05358807973493,40.137229120240626,0.5827517292831861
P3-concise,vanilla,tl,alteration,42,0.3344789835125969,0.056746031746031746,19.210133430733435,35.98667011063134,0.4988696989259638
P3-concise,vanilla,tl,expansion_impact,42,0.37938561788351705,0.07261904761904761,20.847130901827295,36.97452896695142,0.5244110847328094
P3-concise,vanilla,tl,expansion_noimpact,42,0.4000498280120129,0.09126984126984128,22.92180015913022,39.91533549673879,0.5397869831383494
P3-concise,vanilla,tl,intensifier,42,0.3553464062392634,0.09920634920634921,20.8925449383287,36.836005305627495,0.49173061721625605
P3-concise,vanilla,tl,omission,42,0.33243134290753334,0.09722222222222224,21.780992407503817,36.01690713125683,0.47924734859261653
P3-concise,vanilla,tl,spelling,42,0.3434218889576032,0.08055555555555556,20.09164070794017,36.576182225605955,0.4985800948226824
P3-concise,vanilla,tl,synonym,42,0.3480359578433808,0.07261904761904761,20.802029386022163,36.363936736408,0.48893382952637265
P3-concise,vanilla,tl,word_order,42,0.351446418634794,0.07936507936507936,20.316627242944858,35.8714086838869,0.4889437089193731
P3-concise,vanilla,zh,alteration,42,0.4510911971626258,0.11111111111111109,26.265339878420534,46.16668167200416,0.6205657823750425
P3-concise,vanilla,zh,expansion_impact,42,0.42452851821899446,0.06468253968253969,22.407812444013285,43.27663881273713,0.6426265915486193
P3-concise,vanilla,zh,expansion_noimpact,42,0.469574464336369,0.12976190476190477,27.65554221277302,46.50754728899512,0.6598037080617534
