strategy,config,lang,perturbation,count,f1,em,bleu,chrf,sbert
P1-fewshot,vanilla,es,alteration,42,0.5432648500412922,0.07142857142857142,30.969766767990375,57.540359440610686,0.7621843712256542
P1-fewshot,vanilla,es,expansion_impact,42,0.6103311089955026,0.14523809523809522,35.94643601591496,62.455979224250186,0.8073996062730513
P1-fewshot,vanilla,es,expansion_noimpact,42,0.6094878687352491,0.11825396825396825,34.60497703697323,61.055898122379716,0.7980381927674723
P1-fewshot,vanilla,es,intensifier,42,0.6067502797309371,0.11428571428571428,34.82219384316,61.68827927080923,0.8086888704448938
P1-fewshot,vanilla,es,omission,42,0.6101098042582852,0.15992063492063494,37.03275207833225,61.82727219363898,0.8186643464165547
P1-fewshot,vanilla,es,spelling,42,0.6223460016900585,0.13293650793650796,38.26196967021118,62.991149304393296,0.8093595796575149
P1-fewshot,vanilla,es,synonym,42,0.624601393001994,0.15873015873015875,39.8782844947677,64.11119081151453,0.8261794438969994
P1-fewshot,vanilla,es,word_order,42,0.6191139779933174,0.15357142857142855,37.41386610903074,62.74115582403696,0.8096758448592728
P1-fewshot,vanilla,fr,alteration,42,0.5575635964069285,0.09563492063492063,31.524719591431936,57.809505208199504,0.7662256318307111
P1-fewshot,vanilla,fr,expansion_impact,42,0.5913264964619354,0.09166666666666667,32.51026716366461,60.24903382859876,0.8076612086523147
P1-fewshot,vanilla,fr,expansion_noimpact,42,0.6389015483168646,0.15079365079365079,40.65972146746174,65.020911083841,0.8337453579145764
P1-fewshot,vanilla,fr,intensifier,42,0.6216205658176881,0.13968253968253969,38.745409084213684,63.78794967650823,0.8147166443959115
P1-fewshot,vanilla,fr,omission,42,0.5907739543846423,0.0984126984126984,34.33893227389493,58.30462583520363,0.792859284437838
P1-fewshot,vanilla,fr,spelling,42,0.639625535699465,0.14285714285714285,39.0912339131554,64.11533887095236,0.8201729940753133
P1-fewshot,vanilla,fr,synonym,42,0.6193109613636467,0.1476190476190476,39.20608704103445,62.78481263625769,0.8124627138295816
P1-fewshot,vanilla,fr,word_order,42,0.6114982660146051,0.1388888888888889,35.748027804527645,61.75377404830949,0.8214382689387081
P1-fewshot,vanilla,hi,alteration,42,0.5650616573470136,0.10793650793650793,32.412370613144844,57.593299627255746,0.764912681855143
P1-fewshot,vanilla,hi,expansion_impact,42,0.5808486279232843,0.11507936507936507,32.80021461040747,58.539999946707916,0.7739077837221205
P1-fewshot,vanilla,hi,expansion_noimpact,42,0.5707658003958306,0.12261904761904763,33.90790920518295,58.18476697177202,0.773406035110118
P1-fewshot,vanilla,hi,intensifier,42,0.5658253017660361,0.11388888888888889,33.4827580571022,56.59206663287798,0.7599756954533478
P1-fewshot,vanilla,hi,omission,42,0.5447783380335351,0.08095238095238096,30.867312800645426,53.52906150211193,0.7492309848999694
P1-fewshot,vanilla,hi,spelling,42,0.5702992100531445,0.12063492063492062,33.19058580693567,56.42663429201328,0.7702278006881
P1-fewshot,vanilla,hi,synonym,42,0.5657369990630998,0.11388888888888889,32.95961221793351,57.16788157611662,0.758797292730638
P1-fewshot,vanilla,hi,word_order,42,0.5630363910178571,0.11349206349206349,30.580010117612147,56.083845682998636,0.7604451849820121
P1-fewshot,vanilla,tl,alteration,42,0.5092474018957024,0.08492063492063491,27.94484287863481,52.80478295047578,0.7068657332262587
P1-fewshot,vanilla,tl,expansion_impact,42,0.527203986695727,0.08888888888888889,29.093602537405236,54.2418546240854,0.7413186162237136
P1-fewshot,vanilla,tl,expansion_noimpact,42,0.5516121221127476,0.12182539682539681,32.33228024759122,57.096524553634424,0.7515269331841006
P1-fewshot,vanilla,tl,intensifier,42,0.5482233581904674,0.11349206349206349,31.083440190052485,55.86420524580677,0.760225504766854
P1-fewshot,vanilla,tl,omission,42,0.5394740883812318,0.10634920634920635,29.910851034182595,54.66803981910187,0.7384539091072622
P1-fewshot,vanilla,tl,spelling,42,0.5465459654959754,0.12539682539682537,31.912907864370307,56.801332816230364,0.7414417874319331
P1-fewshot,vanilla,tl,synonym,42,0.5726390381761386,0.1261904761904762,33.228846126194654,57.741449341234315,0.7621417694148563
P1-fewshot,vanilla,tl,word_order,42,0.529571211966341,0.11349206349206349,29.048261800716475,54.57420499338192,0.7332253977523319
P1-fewshot,vanilla,zh,alteration,42,0.5626088733998006,0.11587301587301588,32.64886458417394,57.46214096679164,0.7554603471435488
P1-fewshot,vanilla,zh,expansion_impact,42,0.5931885028555879,0.15912698412698414,35.04153594095913,59.78546950718954,0.7839420844460764
P1-fewshot,vanilla,zh,expansion_noimpact,42,0.6154384954915927,0.18611111111111112,39.478054816260936,62.159384662996096,0.800902200330581
P1-fewshot,vanilla,zh,intensifier,42,0.6371799567008495,0.19007936507936507,40.04668010723104,63.442055595415226,0.8084593057632448
P1-fewshot,vanilla,zh,omission,42,0.5777542394940418,0.11587301587301588,34.27007463912481,58.60715370277436,0.7925598897217285
P1-fewshot,vanilla,zh,spelling,42,0.6353429118230036,0.18492063492063493,40.55412287698595,64.10242647684709,0.812817240813895
P1-fewshot,vanilla,zh,synonym,42,0.6260263190484127,0.20396825396825397,40.740348059092824,62.81721532357043,0.8104815870641715
P1-fewshot,vanilla,zh,word_order,42,0.6324808740110949,0.19126984126984123,40.66669826418221,64.3180727429872,0.8148059087524574
P1-fewshot,atomic,es,alteration,42,0.6346391598551048,0.13888888888888887,41.65816028728856,66.8298830835585,0.8020392519436658
P1-fewshot,atomic,es,expansion_impact,42,0.7096527790742787,0.26388888888888884,50.44071719000993,72.28388107580453,0.8486742664660728
P1-fewshot,atomic,es,expansion_noimpact,42,0.7454849595015836,0.28174603174603174,52.81160349066357,74.57555811074747,0.8630550089218313
P1-fewshot,atomic,es,intensifier,42,0.7276039533375346,0.248015873015873,53.25811230210035,73.85829809916939,0.8695112780800888
P1-fewshot,atomic,es,omission,42,0.7018404144206853,0.24007936507936506,49.934590714078,71.19808965765367,0.8429101304343295
P1-fewshot,atomic,es,spelling,42,0.751947580373003,0.26785714285714285,54.11882488860339,75.07010086377242,0.8777557592543344
P1-fewshot,atomic,es,synonym,42,0.7481128637659742,0.2718253968253968,55.75941712251343,75.3719476801446,0.8769214919043911
