language,pipeline,perturbation,f1,em,chrf,bleu,num_comparisons
es,atomic,synonym,0.6485,0.3977,69.9905,53.673,88
es,atomic,word_order,0.586,0.3708,67.6882,48.4874,89
es,atomic,spelling,0.7404,0.5349,79.1133,64.9074,86
es,atomic,expansion_noimpact,0.6507,0.3696,70.6375,52.1296,92
es,atomic,intensifier,0.6314,0.3846,71.2735,52.088,91
es,atomic,expansion_impact,0.6142,0.3409,68.1967,47.403,88
es,atomic,omission,0.5801,0.3483,65.0056,47.4403,89
es,atomic,alteration,0.4984,0.2283,58.3002,37.5672,92
es,semantic,synonym,0.6365,0.4429,66.6115,55.7796,140
es,semantic,word_order,0.6724,0.447,72.0618,56.8002,132
es,semantic,spelling,0.673,0.4867,70.9798,59.2335,150
es,semantic,expansion_noimpact,0.6592,0.3972,68.4103,53.2181,141
es,semantic,intensifier,0.6553,0.3643,68.0622,53.5251,140
es,semantic,expansion_impact,0.6285,0.3571,66.9382,49.3837,140
es,semantic,omission,0.5766,0.352,61.8412,47.39,125
es,semantic,alteration,0.5828,0.3037,62.7512,46.8011,135
es,vanilla,synonym,0.6133,0.3939,68.3102,52.5389,132
es,vanilla,word_order,0.604,0.3556,70.9861,50.1502,135
es,vanilla,spelling,0.6578,0.4203,73.2545,56.5461,138
es,vanilla,expansion_noimpact,0.6009,0.3451,69.8054,48.7834,142
es,vanilla,intensifier,0.5938,0.3684,67.845,49.9433,133
es,vanilla,expansion_impact,0.578,0.3111,65.3131,45.1943,135
es,vanilla,omission,0.547,0.2985,63.0632,45.3533,134
es,vanilla,alteration,0.5071,0.2593,58.734,40.5517,135
fr,atomic,synonym,0.6032,0.3721,68.3052,49.5929,86
fr,atomic,word_order,0.5753,0.3187,65.3748,46.1515,91
fr,atomic,spelling,0.6727,0.4505,71.7821,56.2508,91
fr,atomic,expansion_noimpact,0.6269,0.3636,68.9084,48.651,88
fr,atomic,intensifier,0.6006,0.3837,67.0795,49.6998,86
fr,atomic,expansion_impact,0.5629,0.2326,65.7503,40.1791,86
fr,atomic,omission,0.5921,0.3409,66.2442,47.4704,88
fr,atomic,alteration,0.5101,0.2,56.6526,36.9009,85
fr,semantic,synonym,0.54,0.2746,59.6624,43.2443,142
fr,semantic,word_order,0.6034,0.3309,66.9246,48.2328,139
fr,semantic,spelling,0.6362,0.3778,68.719,52.6231,135
fr,semantic,expansion_noimpact,0.5878,0.3309,63.9003,46.4299,136
fr,semantic,intensifier,0.6333,0.3692,67.1826,51.4015,130
fr,semantic,expansion_impact,0.5508,0.2932,60.9446,42.3452,133
fr,semantic,omission,0.5829,0.32,66.1758,47.2597,125
fr,semantic,alteration,0.5222,0.2353,58.2544,40.8142,136
fr,vanilla,synonym,0.538,0.2815,63.774,43.3082,135
fr,vanilla,word_order,0.5728,0.3214,64.8194,46.525,140
fr,vanilla,spelling,0.5755,0.3191,68.1333,47.7184,141
fr,vanilla,expansion_noimpact,0.5903,0.3381,67.2846,48.0411,139
fr,vanilla,intensifier,0.5649,0.3357,65.4064,46.6681,143
fr,vanilla,expansion_impact,0.5507,0.2632,62.4011,41.9593,133
fr,vanilla,omission,0.592,0.3704,65.3747,49.8577,135
fr,vanilla,alteration,0.4593,0.1818,54.6561,34.4685,132
hi,atomic,synonym,0.6356,0.4066,68.426,54.3947,91
hi,atomic,word_order,0.5678,0.3626,67.21,48.1973,91
hi,atomic,spelling,0.6679,0.4505,74.177,57.5245,91
hi,atomic,expansion_noimpact,0.6599,0.4353,74.509,56.8346,85
hi,atomic,intensifier,0.6168,0.3187,71.3578,48.707,91
hi,atomic,expansion_impact,0.598,0.3626,68.1481,48.6982,91
hi,atomic,omission,0.5311,0.2963,60.6063,43.246,81
hi,atomic,alteration,0.5109,0.2727,63.8817,41.7475,88
hi,semantic,synonym,0.6594,0.437,72.7742,57.9366,135
hi,semantic,word_order,0.6213,0.3958,69.277,53.0913,144
hi,semantic,spelling,0.6892,0.4388,75.2529,59.0366,139
hi,semantic,expansion_noimpact,0.6795,0.4586,73.7403,58.3655,133
hi,semantic,intensifier,0.6689,0.4307,71.7598,56.3291,137
hi,semantic,expansion_impact,0.6162,0.3664,69.4975,51.8868,131
hi,semantic,omission,0.5421,0.3333,62.9459,46.152,129
hi,semantic,alteration,0.6543,0.3953,69.9485,54.5742,129
hi,vanilla,synonym,0.593,0.3182,68.5519,50.0727,132
hi,vanilla,word_order,0.62,0.3731,69.9045,52.2709,134
hi,vanilla,spelling,0.6868,0.4511,76.0692,61.1469,133
hi,vanilla,expansion_noimpact,0.6788,0.4245,74.0323,58.8819,139
hi,vanilla,intensifier,0.6664,0.3969,74.9557,56.3014,131
hi,vanilla,expansion_impact,0.623,0.336,68.608,50.8473,125
hi,vanilla,omission,0.4885,0.2727,58.1719,40.6566,132
hi,vanilla,alteration,0.6012,0.3308,66.1669,50.5772,130
tl,atomic,synonym,0.6344,0.3596,71.8742,53.4139,89
tl,atomic,word_order,0.6444,0.3647,74.1523,54.8692,85
tl,atomic,spelling,0.6508,0.3846,74.1773,55.5981,91
tl,atomic,expansion_noimpact,0.6653,0.3636,72.3541,53.9046,88
tl,atomic,intensifier,0.6622,0.3846,70.8883,53.8032,91
tl,atomic,expansion_impact,0.6524,0.3294,69.0371,51.1638,85
tl,atomic,omission,0.4741,0.25,56.1958,39.0783,88
tl,atomic,alteration,0.6149,0.3765,68.0187,51.7849,85
tl,semantic,synonym,0.7002,0.4662,72.2172,59.9484,148
tl,semantic,word_order,0.6346,0.4013,72.0089,54.1374,152
tl,semantic,spelling,0.6739,0.4338,72.909,58.1429,136
tl,semantic,expansion_noimpact,0.6314,0.3469,69.2401,51.0102,147
tl,semantic,intensifier,0.6221,0.3699,69.9256,52.0438,146
tl,semantic,expansion_impact,0.6682,0.4043,70.8572,54.8635,141
tl,semantic,omission,0.6197,0.3885,67.0241,53.3852,139
tl,semantic,alteration,0.6175,0.3577,64.4667,52.4983,137
tl,vanilla,synonym,0.6702,0.4552,72.4514,58.6281,134
tl,vanilla,word_order,0.6827,0.4427,73.8355,59.2062,131
tl,vanilla,spelling,0.6665,0.4296,72.0849,58.5175,135
tl,vanilla,expansion_noimpact,0.6573,0.3923,73.2001,55.229,130
tl,vanilla,intensifier,0.6884,0.4507,73.0845,59.1748,142
tl,vanilla,expansion_impact,0.6402,0.3571,70.2489,52.5196,140
tl,vanilla,omission,0.5999,0.3333,66.4241,49.6066,120
tl,vanilla,alteration,0.5615,0.2923,62.2667,46.4076,130
zh,atomic,synonym,0.5803,0.2857,65.1593,44.7754,91
zh,atomic,word_order,0.5772,0.2826,66.4586,45.3796,92
zh,atomic,spelling,0.5936,0.2697,63.4441,45.148,89
zh,atomic,expansion_noimpact,0.5893,0.2472,65.2847,45.8412,89
zh,atomic,intensifier,0.4877,0.2308,60.185,36.8583,91
zh,atomic,expansion_impact,0.541,0.25,59.5753,39.4037,88
zh,atomic,omission,0.4331,0.1477,54.1174,33.0024,88
zh,atomic,alteration,0.5063,0.2088,58.8118,37.5398,91
zh,semantic,synonym,0.5512,0.3188,59.5889,44.505,138
zh,semantic,word_order,0.5785,0.3261,62.8952,47.2345,138
zh,semantic,spelling,0.5383,0.2789,61.4477,42.5923,147
zh,semantic,expansion_noimpact,0.5108,0.2759,57.4092,40.3216,145
zh,semantic,intensifier,0.5471,0.2908,60.3182,43.2191,141
zh,semantic,expansion_impact,0.4778,0.2324,55.3109,37.235,142
zh,semantic,omission,0.519,0.248,60.5658,41.3665,125
zh,semantic,alteration,0.4613,0.2074,52.5383,35.5681,135
zh,vanilla,synonym,0.5554,0.2958,64.3612,45.7714,142
zh,vanilla,word_order,0.5646,0.2963,62.8968,45.7897,135
zh,vanilla,spelling,0.5924,0.3111,66.8094,48.8859,135
zh,vanilla,expansion_noimpact,0.5781,0.3309,66.1541,47.6892,139
zh,vanilla,intensifier,0.5405,0.2761,63.8836,43.8571,134
zh,vanilla,expansion_impact,0.526,0.2756,61.3478,42.2545,127
zh,vanilla,omission,0.5126,0.2556,59.1577,41.4531,133
zh,vanilla,alteration,0.5342,0.2348,61.8971,41.9556,132
