strategy,config,lang,perturbation,count,f1,em,bleu,chrf,sbert
P2-cot,vanilla,es,alteration,42,0.40689381337125724,0.16626984126984126,21.94521102316798,42.67922055309057,0.6012420568644764
P2-cot,vanilla,es,expansion_impact,42,0.4532759423052938,0.18373015873015874,24.51640054120923,47.86098692881166,0.6256562262581336
P2-cot,vanilla,es,expansion_noimpact,42,0.4728312239264354,0.20555555555555555,27.33210055713322,49.733060877118675,0.6415120477699453
P2-cot,vanilla,es,intensifier,42,0.4684924851029128,0.20317460317460317,27.47423625237719,49.01414367422296,0.6464801464895052
P2-cot,vanilla,es,omission,42,0.42727874972855495,0.13253968253968254,21.70996398654631,43.274445473280196,0.612018743148517
P2-cot,vanilla,es,spelling,42,0.4481816628199495,0.18134920634920637,24.221561118714877,47.527079430735064,0.633203314351184
P2-cot,vanilla,es,synonym,42,0.47525990247154304,0.1865079365079365,25.528145518546086,49.39829877577218,0.6549840299501306
P2-cot,vanilla,es,word_order,42,0.4929259655445738,0.20396825396825397,27.18081141083465,48.73283712185207,0.6566166594683651
P2-cot,vanilla,fr,alteration,42,0.35575752851922776,0.13531746031746034,20.143333787150855,38.7263572226478,0.578484659579893
P2-cot,vanilla,fr,expansion_impact,42,0.4367228305262908,0.13253968253968254,23.932960549635133,45.43638185401834,0.6497460620869543
P2-cot,vanilla,fr,expansion_noimpact,42,0.4835379850527043,0.18055555555555555,28.931140304847197,51.06814289345868,0.6993555400158382
P2-cot,vanilla,fr,intensifier,42,0.483344876889179,0.20992063492063492,30.229550490601564,51.51508673145696,0.6978026675821711
P2-cot,vanilla,fr,omission,42,0.4680461964704494,0.17619047619047618,29.38130151115674,48.64395438805127,0.6670194984251072
P2-cot,vanilla,fr,spelling,42,0.4847975350491105,0.1873015873015873,30.309776642183703,50.59715316391951,0.6919538523809659
P2-cot,vanilla,fr,synonym,42,0.4543236231770729,0.15119047619047618,26.868025731747622,47.935577746777426,0.6715545614856102
P2-cot,vanilla,fr,word_order,42,0.4973512045801039,0.17936507936507937,30.153644654625786,50.54731468735347,0.6893278841254494
P2-cot,vanilla,hi,alteration,42,0.3559893526717291,0.13412698412698415,19.03310008739041,37.25379725610434,0.5580511759955525
P2-cot,vanilla,hi,expansion_impact,42,0.4034572650036726,0.1638888888888889,22.383853178359157,40.872971868564626,0.5706013847918561
P2-cot,vanilla,hi,expansion_noimpact,42,0.4307991381436493,0.17936507936507937,25.36668014293172,42.654604966258326,0.5973494559275133
P2-cot,vanilla,hi,intensifier,42,0.4227562750576378,0.16944444444444443,22.769519787404214,44.01364193420233,0.600716584481092
P2-cot,vanilla,hi,omission,42,0.3314314714344794,0.10753968253968253,17.59525565552287,34.13247088760586,0.5122704712681414
P2-cot,vanilla,hi,spelling,42,0.4030278962803575,0.1630952380952381,22.325043230235853,38.77876381484408,0.5571642181381494
P2-cot,vanilla,hi,synonym,42,0.3711466853137074,0.11230158730158728,21.575428190771195,37.23697058139879,0.5322444546346863
P2-cot,vanilla,hi,word_order,42,0.3852947884822035,0.12896825396825398,19.432900111247413,38.865845426680515,0.5803552468543842
P2-cot,vanilla,tl,alteration,42,0.3854904912235402,0.11825396825396824,21.464674016014552,40.354607078408,0.5676188555841764
