language,pipeline,perturbation,cosine_similarity,num_comparisons
es,atomic,synonym,0.7897,88
es,atomic,word_order,0.7802,89
es,atomic,spelling,0.8651,86
es,atomic,expansion_noimpact,0.8217,92
es,atomic,intensifier,0.813,91
es,atomic,expansion_impact,0.7972,88
es,atomic,omission,0.7636,89
es,atomic,alteration,0.7305,92
es,semantic,synonym,0.7758,140
es,semantic,word_order,0.8089,132
es,semantic,spelling,0.8095,150
es,semantic,expansion_noimpact,0.7857,141
es,semantic,intensifier,0.7974,140
es,semantic,expansion_impact,0.7923,140
es,semantic,omission,0.7625,125
es,semantic,alteration,0.7531,135
es,vanilla,synonym,0.7962,132
es,vanilla,word_order,0.8118,135
es,vanilla,spelling,0.8434,138
es,vanilla,expansion_noimpact,0.8045,142
es,vanilla,intensifier,0.7822,133
es,vanilla,expansion_impact,0.7724,135
es,vanilla,omission,0.7649,134
es,vanilla,alteration,0.7218,135
fr,atomic,synonym,0.7939,86
fr,atomic,word_order,0.7768,91
fr,atomic,spelling,0.8312,91
fr,atomic,expansion_noimpact,0.7893,88
fr,atomic,intensifier,0.7824,86
fr,atomic,expansion_impact,0.787,86
fr,atomic,omission,0.7732,88
fr,atomic,alteration,0.6888,85
fr,semantic,synonym,0.7316,142
fr,semantic,word_order,0.7797,139
fr,semantic,spelling,0.7924,135
fr,semantic,expansion_noimpact,0.7518,136
fr,semantic,intensifier,0.7734,130
fr,semantic,expansion_impact,0.7355,133
fr,semantic,omission,0.7866,125
fr,semantic,alteration,0.7308,136
fr,vanilla,synonym,0.7809,135
fr,vanilla,word_order,0.7831,140
fr,vanilla,spelling,0.798,141
fr,vanilla,expansion_noimpact,0.7876,139
fr,vanilla,intensifier,0.7778,143
fr,vanilla,expansion_impact,0.7773,133
fr,vanilla,omission,0.8041,135
fr,vanilla,alteration,0.7176,132
hi,atomic,synonym,0.8022,91
hi,atomic,word_order,0.7746,91
hi,atomic,spelling,0.8424,91
hi,atomic,expansion_noimpact,0.8493,85
hi,atomic,intensifier,0.8159,91
hi,atomic,expansion_impact,0.7605,91
hi,atomic,omission,0.7143,81
hi,atomic,alteration,0.7328,88
hi,semantic,synonym,0.8187,135
hi,semantic,word_order,0.7881,144
hi,semantic,spelling,0.8378,139
hi,semantic,expansion_noimpact,0.8243,133
hi,semantic,intensifier,0.8226,137
hi,semantic,expansion_impact,0.781,131
hi,semantic,omission,0.739,129
hi,semantic,alteration,0.796,129
hi,vanilla,synonym,0.7776,132
hi,vanilla,word_order,0.8019,134
hi,vanilla,spelling,0.8572,133
hi,vanilla,expansion_noimpact,0.8324,139
hi,vanilla,intensifier,0.8482,131
hi,vanilla,expansion_impact,0.7964,125
hi,vanilla,omission,0.7252,132
hi,vanilla,alteration,0.7722,130
tl,atomic,synonym,0.8181,89
tl,atomic,word_order,0.8459,85
tl,atomic,spelling,0.8219,91
tl,atomic,expansion_noimpact,0.8195,88
tl,atomic,intensifier,0.7954,91
tl,atomic,expansion_impact,0.7795,85
tl,atomic,omission,0.6895,88
tl,atomic,alteration,0.762,85
tl,semantic,synonym,0.822,148
tl,semantic,word_order,0.83,152
tl,semantic,spelling,0.827,136
tl,semantic,expansion_noimpact,0.7864,147
tl,semantic,intensifier,0.8063,146
tl,semantic,expansion_impact,0.8127,141
tl,semantic,omission,0.7894,139
tl,semantic,alteration,0.756,137
tl,vanilla,synonym,0.82,134
tl,vanilla,word_order,0.834,131
tl,vanilla,spelling,0.823,135
tl,vanilla,expansion_noimpact,0.8047,130
tl,vanilla,intensifier,0.8207,142
tl,vanilla,expansion_impact,0.7979,140
tl,vanilla,omission,0.7829,120
tl,vanilla,alteration,0.7516,130
zh,atomic,synonym,0.7762,91
zh,atomic,word_order,0.7927,92
zh,atomic,spelling,0.7578,89
zh,atomic,expansion_noimpact,0.7741,89
zh,atomic,intensifier,0.7422,91
zh,atomic,expansion_impact,0.7084,88
zh,atomic,omission,0.6851,88
zh,atomic,alteration,0.715,91
zh,semantic,synonym,0.7572,138
zh,semantic,word_order,0.7698,138
zh,semantic,spelling,0.7519,147
zh,semantic,expansion_noimpact,0.7172,145
zh,semantic,intensifier,0.743,141
zh,semantic,expansion_impact,0.7107,142
zh,semantic,omission,0.736,125
zh,semantic,alteration,0.6789,135
zh,vanilla,synonym,0.772,142
zh,vanilla,word_order,0.767,135
zh,vanilla,spelling,0.782,135
zh,vanilla,expansion_noimpact,0.771,139
zh,vanilla,intensifier,0.7659,134
zh,vanilla,expansion_impact,0.7419,127
zh,vanilla,omission,0.7354,133
zh,vanilla,alteration,0.7564,132
