strategy,lingua,perturbation,f1,em,chrf,bleu,SBERT
P1-fewshot,es,alteration,0.5725,0.0958,60.8463,34.2679,0.7658
P1-fewshot,es,expansion_impact,0.6415,0.1753,65.7036,40.5343,0.8113
P1-fewshot,es,expansion_noimpact,0.653,0.1774,66.1366,41.3658,0.8109
P1-fewshot,es,intensifier,0.6506,0.1685,66.5268,42.1061,0.8222
P1-fewshot,es,omission,0.6318,0.1729,64.6284,40.627,0.808
P1-fewshot,es,spelling,0.6642,0.1795,67.4668,43.9483,0.8197
P1-fewshot,es,synonym,0.6643,0.191,67.8361,44.8391,0.8303
P1-fewshot,es,word_order,0.6587,0.1956,66.7542,43.272,0.8186
P1-fewshot,fr,alteration,0.5863,0.1057,60.9061,34.3273,0.7591
P1-fewshot,fr,expansion_impact,0.6156,0.143,62.9445,37.2287,0.8027
P1-fewshot,fr,expansion_noimpact,0.6656,0.1865,67.0304,44.3436,0.82
P1-fewshot,fr,intensifier,0.6783,0.2058,68.305,45.3895,0.8281
P1-fewshot,fr,omission,0.6251,0.1603,62.0348,39.7489,0.784
P1-fewshot,fr,spelling,0.669,0.204,67.3022,44.8141,0.8161
P1-fewshot,fr,synonym,0.6559,0.204,65.7404,43.9209,0.8143
P1-fewshot,fr,word_order,0.6467,0.1844,65.1486,41.1533,0.8175
P1-fewshot,hi,alteration,0.5764,0.1364,58.7188,35.4956,0.7513
P1-fewshot,hi,expansion_impact,0.6076,0.1472,62.2212,38.1198,0.7724
P1-fewshot,hi,expansion_noimpact,0.6065,0.1548,61.0835,38.8356,0.7717
P1-fewshot,hi,intensifier,0.607,0.1492,60.3149,38.2078,0.7654
P1-fewshot,hi,omission,0.5727,0.1413,56.8118,35.0669,0.7441
P1-fewshot,hi,spelling,0.606,0.1563,60.2597,38.3404,0.7663
P1-fewshot,hi,synonym,0.6048,0.1532,60.3617,37.5383,0.7651
P1-fewshot,hi,word_order,0.6051,0.1462,60.5109,36.6938,0.7716
P1-fewshot,tl,alteration,0.5551,0.1292,57.4537,34.615,0.7157
P1-fewshot,tl,expansion_impact,0.5833,0.152,60.1207,36.7503,0.7485
P1-fewshot,tl,expansion_noimpact,0.5844,0.1675,60.8585,37.7437,0.7468
P1-fewshot,tl,intensifier,0.5746,0.1647,59.3409,35.9216,0.7436
P1-fewshot,tl,omission,0.5602,0.1271,56.4623,33.6721,0.7202
P1-fewshot,tl,spelling,0.5931,0.1536,61.0596,37.3215,0.7429
P1-fewshot,tl,synonym,0.6071,0.1581,60.8825,38.18,0.7525
P1-fewshot,tl,word_order,0.5876,0.1603,60.1515,36.8133,0.7446
P1-fewshot,zh,alteration,0.6081,0.1275,61.5589,37.1816,0.769
P1-fewshot,zh,expansion_impact,0.6279,0.1705,63.0032,40.1727,0.7869
P1-fewshot,zh,expansion_noimpact,0.6383,0.1831,63.7446,41.4232,0.7992
P1-fewshot,zh,intensifier,0.6633,0.1888,65.5531,43.569,0.8076
P1-fewshot,zh,omission,0.6032,0.1165,59.3819,36.3416,0.7725
P1-fewshot,zh,spelling,0.657,0.1927,65.9159,44.287,0.8066
P1-fewshot,zh,synonym,0.6576,0.2022,65.5622,45.0196,0.8118
P1-fewshot,zh,word_order,0.6552,0.2063,65.5795,43.4987,0.8117
P2-cot,es,alteration,0.3986,0.1603,42.7424,21.9517,0.5773
P2-cot,es,expansion_impact,0.4621,0.1882,49.0965,25.4245,0.6246
P2-cot,es,expansion_noimpact,0.4467,0.1728,48.1496,24.8427,0.6081
P2-cot,es,intensifier,0.4646,0.1938,50.3051,27.5239,0.6301
P2-cot,es,omission,0.4412,0.1421,46.2303,23.5001,0.6183
P2-cot,es,spelling,0.4722,0.2061,49.6572,27.1503,0.6347
P2-cot,es,synonym,0.4784,0.204,50.2939,28.5856,0.6389
P2-cot,es,word_order,0.4847,0.1997,50.0004,26.9477,0.6364
P2-cot,fr,alteration,0.3388,0.1172,37.9375,18.0281,0.5495
P2-cot,fr,expansion_impact,0.443,0.1536,47.6474,24.6065,0.6431
P2-cot,fr,expansion_noimpact,0.4827,0.1779,51.3313,28.3934,0.6719
P2-cot,fr,intensifier,0.4629,0.1833,50.7788,28.1255,0.667
P2-cot,fr,omission,0.4714,0.18,49.2238,28.9223,0.6614
P2-cot,fr,spelling,0.492,0.1967,51.7088,30.4255,0.6813
P2-cot,fr,synonym,0.4719,0.1878,50.6541,29.0138,0.673
P2-cot,fr,word_order,0.4954,0.1933,52.3495,29.7476,0.6875
P2-cot,hi,alteration,0.3862,0.1415,40.3317,22.0497,0.5605
P2-cot,hi,expansion_impact,0.4171,0.1792,42.4044,23.775,0.5741
P2-cot,hi,expansion_noimpact,0.436,0.1914,43.3696,25.8584,0.5802
P2-cot,hi,intensifier,0.4278,0.1892,43.6909,25.0334,0.5888
P2-cot,hi,omission,0.3614,0.121,36.2673,20.4122,0.5136
P2-cot,hi,spelling,0.4238,0.1978,41.9149,25.2472,0.5702
P2-cot,hi,synonym,0.3968,0.1626,40.2582,23.8644,0.549
P2-cot,hi,word_order,0.3993,0.1267,39.8524,20.6859,0.5579
P2-cot,tl,alteration,0.3613,0.1317,39.3408,22.1983,0.545
P2-cot,tl,expansion_impact,0.4165,0.2077,43.8491,26.9488,0.5668
P2-cot,tl,expansion_noimpact,0.4257,0.1934,45.2191,27.2922,0.5859
